Players,Goals,Assists,Completions,Turnovers,Touches,Catches,Drops,Ds,Minutes,PointsPlayed,PlusMinus
Keith Waken,2,17,128,29,128,98,1,8,213.93,61,23
Ross Steel,7,5,49,14,49,52,2,7,263.55,75,23
Kai Berelec,14,3,10,10,10,34,1,14,226,65,21
Axel,3,11,87,35,87,68,1,6,148.88,46,20
Cade Mettee,4,8,75,21,75,83,2,5,249.78,74,20
Billy McAdoo,4,4,82,29,82,59,1,20,222.55,71,15
Alexandros Greekturkishio,5,1,7,3,7,15,2,3,154.98,45,13
Georgia Francois Watkins,1,2,20,3,20,18,0,2,103.35,29,13
Apolo Schuler,2,3,9,6,9,15,1,1,151.77,44,8
Dirk Delasalas,7,5,36,9,36,43,1,11,167.27,48,8
Nicholas Brinson,3,0,6,0,6,9,3,1,157.08,47,7
William Narayan,8,0,7,4,7,19,2,5,114.82,34,6
George May,2,2,11,6,11,14,0,3,77.87,23,3
Henry Weinshanck,0,1,6,0,6,6,0,0,80.6,24,2
